,open,high,low,close,volume,value,middle
2017-11-12 09:00:00,7231000,8250000,6476000,7132000,8255.02329,59303943335,7363000
2017-11-13 09:00:00,7132000,7898000,6921000,7487000,9275.457573,68979166584,7409500
2017-11-14 09:00:00,7471000,7699000,7430000,7591000,6500.258282,49083415079,7564500
2017-11-15 09:00:00,7592000,8397000,7560000,8350000,7565.296682,60575966231,7978500
2017-11-16 09:00:00,8350000,8750000,8150000,8710000,7885.121896,66362578167,8450000
2017-11-17 09:00:00,8710000,8899000,8400000,8541000,8479.643079,73541971047,8649500
2017-11-18 09:00:00,8542000,8699000,8356000,8618000,8359.231584,71270791003,8527500
2017-11-19 09:00:00,8618000,8888000,8495000,8770000,6018.174608,51704190380,8691500
2017-11-20 09:00:00,8770000,9181000,8655000,9025000,11144.14671,98856175270,8918000
2017-11-21 09:00:00,8994000,9230000,8500000,8944000,14774.66683,1.32653E+11,8865000
2017-11-22 09:00:00,8944000,9200000,8932000,9084000,13847.8706,1.25645E+11,9066000
2017-11-23 09:00:00,9084000,9134000,8905000,8943000,13841.8772,1.25047E+11,9019500
2017-11-24 09:00:00,8945000,9670000,7182000,9195000,22584.05851,2.05808E+11,8426000
2017-11-25 09:00:00,9195000,9908000,8930000,9879000,13583.46813,1.2761E+11,9419000
2017-11-26 09:00:00,9879000,10750000,9751000,10344000,21616.95893,2.19496E+11,10250500
2017-11-27 09:00:00,10339000,11320000,10333000,11314000,19495.1715,2.12595E+11,10826500
2017-11-28 09:00:00,11315000,12074000,11111000,12048000,31149.6177,3.61834E+11,11592500
2017-11-29 09:00:00,12050000,13750000,10800000,11104000,46072.10049,5.83393E+11,12275000
2017-11-30 09:00:00,11114000,12550000,10017000,11935000,41015.72824,4.68921E+11,11283500
2017-12-01 09:00:00,11935000,12680000,11201000,12532000,30105.44288,3.61397E+11,11940500
2017-12-02 09:00:00,12532000,13180000,12350000,12971000,29070.16589,3.73697E+11,12765000
2017-12-03 09:00:00,12970000,13529000,12840000,13128000,26158.44322,3.42652E+11,13184500
2017-12-04 09:00:00,13120000,13688000,13119000,13684000,23034.66919,3.08794E+11,13403500
2017-12-05 09:00:00,13683000,14794000,13612000,14645000,27842.82483,3.93354E+11,14203000
2017-12-06 09:00:00,14645000,19006000,14645000,18390000,46874.81572,7.64487E+11,16825500
2017-12-07 09:00:00,18389000,23860000,17965000,23791000,55171.05694,1.11827E+12,20912500
2017-12-08 09:00:00,23795000,24967000,16521000,20260000,101681.9623,2.07053E+12,20744000
2017-12-09 09:00:00,20259000,20877000,15257000,17769000,57286.61272,1.01729E+12,18067000
2017-12-10 09:00:00,17769000,18537000,13744000,17661000,87737.9018,1.39758E+12,16140500
2017-12-11 09:00:00,17661000,19989000,17520000,19307000,49104.26523,9.37492E+11,18754500
2017-12-12 09:00:00,19307000,19549000,18497000,18940000,37765.66828,7.24954E+11,19023000
2017-12-13 09:00:00,18943000,19301000,17379000,18358000,38816.44091,7.20181E+11,18340000
2017-12-14 09:00:00,18356000,19312000,18101000,18660000,39274.30895,7.29016E+11,18706500
2017-12-15 09:00:00,18664000,21558000,18539000,20075000,53514.06078,1.07843E+12,20048500
2017-12-16 09:00:00,20080000,22475000,19810000,22205000,41694.09111,8.70835E+11,21142500
2017-12-17 09:00:00,22208000,22961000,21000000,21881000,35122.33783,7.74987E+11,21980500
2017-12-18 09:00:00,21881000,22280000,20980000,22087000,39510.42923,8.64255E+11,21630000
2017-12-19 09:00:00,22086000,23741000,20450000,22367000,48064.50574,1.07622E+12,22095500
2017-12-20 09:00:00,22385000,23299000,20600000,22638000,41426.79458,9.15787E+11,21949500
2017-12-21 09:00:00,22638000,23950000,20750000,22200000,43263.77604,9.74648E+11,22350000
2017-12-22 09:00:00,22200000,22840000,16105000,19089000,79976.23837,1.52891E+12,19472500
2017-12-23 09:00:00,19090000,21120000,18312000,20525000,58485.96742,1.16388E+12,19716000
2017-12-24 09:00:00,20523000,20770000,18499000,19592000,47643.1366,9.29024E+11,19634500
2017-12-25 09:00:00,19589000,19950000,19210000,19822000,36350.71168,7.12238E+11,19580000
2017-12-26 09:00:00,19820000,22750000,19730000,21933000,54654.19806,1.1722E+12,21240000
2017-12-27 09:00:00,21932000,22650000,21074000,21970000,37639.65248,8.25257E+11,21862000
2017-12-28 09:00:00,21964000,22000000,18323000,19565000,45244.24799,8.96259E+11,20161500
2017-12-29 09:00:00,19565000,19738000,18530000,19290000,37594.01227,7.16201E+11,19134000
2017-12-30 09:00:00,19290000,19478000,17800000,18415000,42305.0785,7.90631E+11,18639000
2017-12-31 09:00:00,18401000,19637000,18208000,19280000,29363.72194,5.5383E+11,18922500
2018-01-01 09:00:00,19278000,19420000,18290000,18860000,27949.67613,5.29082E+11,18855000
2018-01-02 09:00:00,18875000,21720000,18510000,20263000,41968.47301,8.19264E+11,20115000
2018-01-03 09:00:00,20263000,21329000,19520000,20900000,43168.2576,8.88631E+11,20424500
2018-01-04 09:00:00,20899000,23685000,19700000,23402000,45192.45174,9.79227E+11,21692500
2018-01-05 09:00:00,23403000,28589000,22338000,27444000,56774.84984,1.41896E+12,25463500
2018-01-06 09:00:00,27451000,28885000,23966000,26924000,48971.92813,1.27938E+12,26425500
2018-01-07 09:00:00,26924000,27210000,24543000,25859000,31015.72259,8.05562E+11,25876500
2018-01-08 09:00:00,25859000,26449000,23850000,25230000,44839.78332,1.13505E+12,25149500
2018-01-09 09:00:00,25200000,25786000,22858000,24016000,41558.52969,1.00965E+12,24322000
2018-01-10 09:00:00,24015000,24200000,19689000,21317000,43736.28693,9.69877E+11,21944500
2018-01-11 09:00:00,21300000,21890000,14104000,19389000,61924.52562,1.18104E+12,17997000
2018-01-12 09:00:00,19359000,21143000,18005000,20745000,43734.14211,8.58088E+11,19574000
2018-01-13 09:00:00,20750000,21399000,19886000,21135000,30172.38453,6.34211E+11,20642500
2018-01-14 09:00:00,21130000,21299000,18131000,19206000,30105.5301,5.86548E+11,19715000
2018-01-15 09:00:00,19210000,20143000,18201000,19106000,29582.9525,5.71781E+11,19172000
2018-01-16 09:00:00,19107000,19219000,11543000,14279000,59293.11406,9.47015E+11,15381000
2018-01-17 09:00:00,14279000,15722000,11901000,14951000,60203.17701,8.09847E+11,13811500
2018-01-18 09:00:00,14954000,16370000,13650000,14880000,44001.92023,6.51401E+11,15010000
2018-01-19 09:00:00,14879000,15448000,14352000,15372000,27555.99477,4.11893E+11,14900000
2018-01-20 09:00:00,15370000,17208000,15225000,16858000,51147.45642,8.45326E+11,16216500
2018-01-21 09:00:00,16852000,16943000,13735000,14640000,44140.37059,6.6082E+11,15339000
2018-01-22 09:00:00,14640000,14910000,12981000,13944000,30529.67526,4.24614E+11,13945500
2018-01-23 09:00:00,13968000,14044000,12311000,13141000,28032.38239,3.69066E+11,13177500
2018-01-24 09:00:00,13139000,13780000,12600000,13450000,24236.06233,3.177E+11,13190000
2018-01-25 09:00:00,13450000,13900000,12800000,12973000,18943.75636,2.5133E+11,13350000
2018-01-26 09:00:00,12973000,13350000,11500000,12876000,30279.96148,3.7944E+11,12425000
2018-01-27 09:00:00,12876000,13132000,12300000,12900000,18535.39985,2.3544E+11,12716000
2018-01-28 09:00:00,12903000,13570000,12810000,13352000,20508.73672,2.71699E+11,13190000
2018-01-29 09:00:00,13351000,13489000,12560000,12909000,15844.07279,2.05583E+11,13024500
2018-01-30 09:00:00,12909000,12957000,11310000,11627000,21206.17024,2.58565E+11,12133500
2018-01-31 09:00:00,11658000,11900000,10400000,11429000,23175.02109,2.59417E+11,11150000
2018-02-01 09:00:00,11439000,11490000,10011000,10070000,22225.67551,2.36864E+11,10750500
2018-02-02 09:00:00,10061000,10120000,7830000,9410000,52018.46095,4.65638E+11,8975000
2018-02-03 09:00:00,9410000,10200000,8400000,9520000,25405.73722,2.3554E+11,9300000
2018-02-04 09:00:00,9524000,10158000,8765000,8900000,18781.0239,1.78484E+11,9461500
2018-02-05 09:00:00,8900000,9250000,7715000,7832000,20709.59917,1.76326E+11,8482500
2018-02-06 09:00:00,7831000,8698000,6620000,8642000,44456.45172,3.35385E+11,7659000
2018-02-07 09:00:00,8646000,9199000,7990000,8387000,33928.15634,2.94442E+11,8594500
2018-02-08 09:00:00,8410000,9690000,8410000,9480000,38113.82547,3.51356E+11,9050000
2018-02-09 09:00:00,9479000,9934000,9041000,9929000,29459.15309,2.7746E+11,9487500
2018-02-10 09:00:00,9929000,10656000,9475000,9959000,33057.11965,3.35316E+11,10065500
2018-02-11 09:00:00,9958000,10045000,9021000,9320000,17672.61615,1.66733E+11,9533000
2018-02-12 09:00:00,9319000,10195000,9305000,10140000,14756.72286,1.45173E+11,9750000
2018-02-13 09:00:00,10149000,10220000,9630000,9906000,13735.57074,1.36411E+11,9925000
2018-02-14 09:00:00,9906000,10510000,9896000,10473000,17264.67106,1.76545E+11,10203000
2018-02-15 09:00:00,10473000,11459000,10355000,11357000,26678.52012,2.93166E+11,10907000
2018-02-16 09:00:00,11357000,11800000,11151000,11462000,20284.75192,2.31907E+11,11475500
2018-02-17 09:00:00,11452000,12318000,11400000,12300000,34046.21887,4.06338E+11,11859000
2018-02-18 09:00:00,12300000,12755000,11522000,11966000,44163.19851,5.38048E+11,12138500
2018-02-19 09:00:00,11966000,12663000,11862000,12649000,22700.15188,2.78413E+11,12262500
2018-02-20 09:00:00,12649000,14149000,12645000,13548000,41015.58477,5.47143E+11,13397000
